Country Name,gdp_per_capita_2023,gdp_growth_rate_2023,inflation_rate_2023,exports_2023,labour_force_participation_rate_2023,life_expectancy_at_birth_2023,school_enrollment_rate_2023,unemployment_rate_2023,access_to_internet_2023,mobile_subscriptions_2023,lpi_score_2023,cpi_score_2023,political_stability_2023,regulatory_quality_2023,co2_emissions_per_capita_2023,renewable_energy_consumption_2023
Afghanistan,0.0,0.22353381803066244,1.0,0.057831642095063175,0.21320888018691586,0.16967526152065115,0.16146989249057392,0.5004255319148937,0.0,0.01270172763385433,0.0,1.0,0.0,0.0,0.002586440535689105,0.24242424242424243
Australia,0.49005883039451914,0.23138004857385205,0.714515164071125,0.11686474035853214,0.6759485140186916,0.9050882761543901,1.0,0.6905910165484634,0.9766297662976631,0.01607191199951381,0.7500000000000001,0.15384615384615385,0.8168316736997405,0.9063027103506931,0.17257438356515495,0.1490909090909091
Bangladesh,0.04978030526339208,0.25641911751443724,0.5950306515513877,0.03652498914685765,0.5738317757009346,0.5429521931950947,0.32046277902042847,0.6031205673758866,0.32964329643296436,0.10551991999955801,0.29166666666666685,0.9384615384615385,0.14851485755121774,0.10668258586283308,0.008961990921882131,0.30303030303030304
Bhutan,0.09223717322699669,0.2503958353080478,0.7526385568522741,0.10920652941511716,0.6093457943925233,0.4696106448505848,0.5238848091108672,0.7418439716312059,0.8696186961869621,0.00040994093890021487,0.2500000000000001,0.26153846153846155,0.8564356792323242,0.2307815966310047,0.031109317093122448,1.0
Brunei,0.5960597504985296,0.20954122522466898,0.8605771449087712,0.409763305204961,0.6022530841121494,0.5712602156851676,0.511110343955872,0.5366430260047281,1.0,0.00029320935474781625,0.5126811594202899,0.620159151193634,0.9950495391451238,0.5959119104689915,0.26068794871661155,0.0
Cambodia,0.037420332402561735,0.24767203806152074,0.8112276979991182,0.35297949863659495,1.0,0.3699058999886029,0.1947098103108586,1.0,0.5289052890528905,0.01076801529290217,0.20833333333333337,0.9692307692307693,0.4851485259794034,0.1889658239988843,0.01269986279737909,0.6351515151515151
China,0.1604539550837144,0.2507788613129021,0.8639841976843237,0.07531015638744021,0.6706915887850469,0.6847516157751401,0.5155443650049982,0.5542316784869977,0.7355473554735548,1.0,0.7500000000000001,0.6615384615384616,0.24752475183341532,0.27781551792028314,0.11574103514018799,0.18424242424242424
Fiji,0.09287105926324214,0.27519131875572966,0.810650512474699,0.2427438152842002,0.5068971962616822,0.22503797420734362,0.5889814880085056,0.628936170212766,0.7576875768757687,0.0005422681893270129,0.16666666666666663,0.5076923076923077,0.7475247437433408,0.34495612285886273,0.029453967813562885,0.34424242424242424
Hong Kong,0.4976072386127912,0.22960426641208925,0.8120879903801875,1.0,0.5009345794392523,1.0,0.6560289387477998,0.7585815602836881,0.96309963099631,0.013143719026071966,0.8750000000000001,0.15384615384615385,0.7128712787651409,0.933081692116511,0.05665466404530521,0.0048484848484848485
India,0.057089404436542576,0.28193794777137726,0.7130621050520995,0.08770756143565442,0.5121495327102803,0.42760240384241577,0.4015160860925779,0.6429314420803783,0.4698646986469865,0.6298322090177294,0.6250000000000001,0.7076923076923077,0.20792080604934857,0.303152371654907,0.02530449595619436,0.42303030303030303
Indonesia,0.0947618587800881,0.24861687544105904,0.7682264376661837,0.08710905234907199,0.7285981308411216,0.3905642736531143,0.6028117077485207,0.7246335697399529,0.6334563345633457,0.19447068768335737,0.45833333333333337,0.7846153846153847,0.2871287174640174,0.3832458960921839,0.02953918440617034,0.24484848484848484
Japan,0.341480598068671,0.21245980821616353,0.7794319993565046,0.08748573664202783,0.605607476635514,0.9478744475516003,0.6597032217380319,0.7915839243498819,0.8523985239852399,0.12098961872717529,0.8333333333333334,0.18461538461538463,0.8366336764138047,0.756711253615511,0.0934301041019799,0.10666666666666667
Kiribati,0.00958530600337738,0.23870570080080367,0.6117674298849372,0.0024325455232364693,0.42056074766355134,0.18860490098729565,0.5596659672855451,0.0,0.8646986469864699,3.331289123144327e-05,0.5126811594202899,0.620159151193634,0.9356436105979838,0.19165008377185933,0.009049783002790641,0.5078787878787878
South Korea,0.3587763841410405,0.20900102864394599,0.7702522353608844,0.21813647312469153,0.6317757009345792,0.9214269225155882,0.6110688494900594,0.7844917257683216,0.980319803198032,0.04634832236642191,0.7916666666666666,0.3384615384615385,0.698019816501005,0.6809287327747406,0.13657063525774574,0.04363636363636364
Laos,0.05081381191744823,0.23463924411944168,0.0,0.15461505973054426,0.31028037383177576,0.29626182315946625,0.13356261931096475,0.9231205673758867,0.5645756457564577,0.0026574732457085395,0.20833333333333337,0.8769230769230769,0.7722772870117885,0.11957124541376105,0.04180250320484544,0.5963636363636364
Macau,0.8201377301833298,1.0,0.8572511321815302,0.49706075828541907,0.5407853025847797,0.91067503899496,0.5523882236809428,0.7970685579196218,0.879458794587946,0.0007513853667699821,0.5126811594202899,0.620159151193634,0.9059406063702045,0.868538116286258,0.05464673410655651,0.13333333333333333
Malaysia,0.2454766856646048,0.23259807755245138,0.8011538522061482,0.3629275959993678,0.7252336448598129,0.6287406277642473,0.47461072132174337,0.6658156028368796,0.984009840098401,0.027674186045226767,0.7083333333333334,0.5384615384615385,0.5148514902007456,0.5523490644420339,0.09932158087578336,0.09090909090909091
Maldives,0.16164375199437103,0.24516423886061994,0.7889280196222523,0.3970855247885458,0.6299065420560748,0.8182098958504764,0.41680361122410997,0.6060520094562648,0.824108241082411,0.00040597682860126297,0.5126811594202899,0.7076923076923077,0.6386138879538649,0.20564921114660278,0.06733591994513397,0.014545454545454545
Marshall Islands,0.03818580752671223,0.15221147805442872,0.714515164071125,0.1882596727137241,0.5407853025847797,0.20900396452212666,0.8107965402942232,0.10855791962174939,0.5904059040590406,3.314935441632275e-06,0.5126811594202899,0.620159151193634,0.9603960741669241,0.14201388290234643,0.0,0.14787878787878786
Mongolia,0.11334377841299872,0.2740947421525196,0.582094564456088,0.4081278204539548,0.5065420560747664,0.43276436180325906,0.624326090981284,0.5478014184397164,0.8031980319803198,0.0026685230305139806,0.2500000000000001,0.8,0.6881188150917453,0.31831334463481703,0.09945848026845197,0.03636363636363636
Myanmar,0.026855302428411738,0.20472661268610248,0.6245342252283356,0.11600758367282538,0.611214953271028,0.20658373664511265,0.36613301892561484,0.8978723404255321,0.5018450184501846,0.036182520345416275,0.5126811594202899,1.0,0.03465346623166531,0.09149259244143504,0.007590323599575465,0.7624242424242424
Nauru,0.08339564017021199,0.200779948760643,0.714515164071125,0.21030989511515125,0.6822429906542056,0.0,0.5074168904071223,0.5593380614657211,0.7872078720787208,0.0,0.5126811594202899,0.620159151193634,0.8514851386779406,0.2658626778580645,0.0,0.02303030303030303
Nepal,0.0228383105862438,0.21539528242548006,0.6722085093169451,0.0,0.14953271028037385,0.3563353365353463,0.5190652681601244,0.02940898345153664,0.4686346863468634,0.021099564085989425,0.5126811594202899,0.7692307692307693,0.3960396331064655,0.14767271268698356,0.007436833269210052,0.8933333333333333
New Zealand,0.36764779931701197,0.20231036017037488,0.7107200838957777,0.10081817773003743,0.7775700934579437,0.9030854744873631,0.7964955660728497,0.6846335697399528,0.965559655596556,0.003618804523781899,0.7083333333333334,0.0,0.9900990782902478,0.9262428878951152,0.08438954512371462,0.3503030303030303
Pakistan,0.027453064065330848,0.19401457339192887,0.012878275218407217,0.02075849223693907,0.2691588785046729,0.23942968640458684,0.0,0.4381087470449173,0.11931119311193111,0.10441494151901393,0.5126811594202899,0.8615384615384616,0.054455449067857424,0.15540574918729383,0.009975773264183172,0.5042424242424243
Palau,0.10994816089062903,0.21458528574329275,0.5131774210860699,0.03832741874290873,0.8672897196261682,0.3094434214182029,0.5667689621246139,0.9651063829787235,0.643638103047697,7.73484936380864e-06,0.5126811594202899,0.620159151193634,0.9207921483338479,0.4406577615076624,1.0,0.01090909090909091
Papua New Guinea,0.01737951095714411,0.22701976766082507,0.806454661150363,0.11600758367282538,0.3137570093457944,0.17395387866037204,0.022570705468517693,0.7831678486997637,0.07872078720787212,0.0026574732457085395,0.3333333333333336,0.8615384615384616,0.2673267347009441,0.17804654132174774,0.007054097291098045,0.6618181818181819
Philippines,0.06299132557070845,0.25395868403956734,0.7038946233402372,0.11600758367282538,0.6429906542056076,0.33381857360812806,0.5555116374341156,0.7917730496453903,0.8130381303813039,0.07458052254432346,0.5833333333333334,0.7846153846153847,0.23267326972274419,0.38712608901470225,0.01728659707965407,0.3393939393939394
Samoa,0.03434394998942214,0.28656510653467604,0.6497167778898837,0.1283753583496114,0.24859813084112148,0.4144208055836791,0.4629808837830692,0.5600945626477543,0.4969249692496925,6.868546235062072e-05,0.5126811594202899,0.620159151193634,0.9306930700436002,0.3117517608657361,0.026621072057564425,0.4351515151515151
Singapore,1.0000000000000002,0.2059778054214346,0.7361333111564633,0.9855144091627759,0.7121495327102803,0.8983419964000006,0.6674392233686723,0.7117730496453901,0.9421894218942191,0.005325996276222521,1.0,0.03076923076923077,0.9999999999999999,1.0,0.11875153003275006,0.013333333333333334
Solomon Islands,0.00431380559468636,0.22749267432435585,0.706463726856967,0.11384658104786188,0.4660892127102805,0.3638553302960683,0.5155443650049982,0.6876122931442081,0.30504305043050434,0.0002563550074862292,0.3750000000000001,0.6461538461538462,0.6188118851353455,0.1116636494927753,0.006446253471632419,0.6072727272727273
Sri Lanka,0.08790920091821967,0.16977828166749181,0.4094501539686995,0.07995619430477419,0.33831775700934585,0.6644389889502023,0.5183080360481707,0.6092671394799055,0.41205412054120544,0.01656915231575865,0.3750000000000001,0.7846153846153847,0.2524752524858175,0.2876900250390433,0.011465050193139764,0.5915151515151514
Thailand,0.15252941082860794,0.21469461759052286,0.8362993543143457,0.3444699066384474,0.7130252854205605,0.6181521308023119,0.7423811839297207,0.9681323877068558,0.8831488314883149,0.06684567318051482,0.6666666666666669,0.7692307692307693,0.3613861681282656,0.3813271280139768,0.04708294217146847,0.23030303030303031
East Timor,0.018606629973271702,0.0,0.6358155550553768,0.09405176595107495,0.0,0.24115842060245374,0.47133567003013305,0.8921040189125298,0.2004920049200492,0.0008563583224216708,0.5126811594202899,0.6461538461538462,0.5544554559358033,0.13261996507924073,0.006252606868575875,0.13818181818181818
Tonga,0.037192726496111495,0.16965111309089678,0.6934944482295387,0.02711699481495538,0.26505407196261677,0.466153176454851,0.618115737206935,0.837825059101655,0.5018450184501846,3.0015635445499696e-05,0.5126811594202899,0.620159151193634,0.925742609188724,0.25397655135364483,0.025899826749852136,0.027878787878787878
Vanuatu,0.00896823178816216,0.21818986710832264,0.5588214707497458,0.04917285851666165,0.7289719626168223,0.4048695491404639,0.821892625118805,0.6548463356973996,0.3444034440344404,0.00013564108088994967,0.5126811594202899,0.5692307692307692,0.8316832155589287,0.2759517765564412,0.011041404643347283,0.30303030303030304
Vietnam,0.09159180796846507,0.2485988989487282,0.7798568327711577,0.4724346794379384,0.7177570093457946,0.5393218513795737,0.6037356662835722,0.8818912529550829,0.7429274292742927,0.07237056558323528,0.5833333333333334,0.676923076923077,0.45544556165360556,0.24397972408156526,0.04576309707880133,0.29333333333333333
