Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Afghanistan,AFG,12.3093795776367,..,53.2851409912109,53.5063400268555,55.4021492004395,57.0392990112305,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,American Samoa,ASM,90.7099533081055,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Australia,AUS,..,..,159.110763549805,155.594390869141,153.576126098633,136.105545043945,144.056564331055,137.490737915039,135.526565551758,133.277267456055,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bangladesh,BGD,20.4544296264648,48.7191314697266,62.0312309265137,66.9232483057473,64.8559520731683,67.4213697322793,67.2209189141778,69.0135708627668,70.2933328560227,71.8219832597133,71.4947068269712,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Bhutan,BTN,..,31.5091094970703,85.1941909790039,85.6835174560547,86.6147003173828,87.5288467407227,..,..,90.8035788154924,89.9895493944796,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Brunei Darussalam,BRN,..,67.8662261962891,96.3360900878906,93.4085998535156,91.6632308959961,91.4957733154297,89.6485824584961,86.9572627721675,89.1228976893426,88.3798616082081,88.8281131297345,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Cambodia,KHM,..,19.0743503570557,..,..,49.1536193243565,51.3683197808165,52.3081059868316,54.835750579834,57.9598846864777,58.7424032681922,60.0614252117159,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,China,CHN,39.0901184082031,59.2292213439941,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Fiji,FJI,..,75.1499710083008,87.7612437924439,88.7946105352381,..,91.2016844638292,90.682590252231,90.1190414428711,92.1540730010089,93.082319206677,95.9080471414581,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,French Polynesia,PYF,67.8507308959961,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"Hong Kong SAR, China",HKG,..,..,107.431686401367,107.797096252441,106.83757019043,108.210166931152,105.107139587402,100.485191345215,100.197776794434,102.00390625,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,India,IND,..,45.4210510253906,74.9483337402344,76.119987487793,74.5972671508789,75.7847900390625,75.5255813598633,77.6271551845716,80.6246396929286,81.1778611796872,78.863958593161,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Indonesia,IDN,47.1402587890625,56.1876792907715,88.7822877060453,88.5644920884794,91.5816468000954,93.4309363897896,95.7836905704493,98.0443013603661,99.0968322828421,98.9717306316633,97.1654711118149,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Japan,JPN,97.01806640625,..,102.200416564941,101.167999267578,101.882888793945,102.425148010254,102.670066833496,102.844802856445,102.155380249023,102.337966918945,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Kiribati,KIR,35.2961883544922,61.0354690551758,..,..,..,..,..,..,86.4115524291992,87.520881652832,93.2427215576172,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"Korea, Dem. People's Rep.",PRK,..,..,95.9569625854492,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"Korea, Rep.",KOR,91.1876220703125,98.0937805175781,98.5931930541992,98.7179565429688,99.105583190918,99.3186569213867,98.3813018798828,97.0888214111328,98.0951538085938,97.9161987304688,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Lao PDR,LAO,22.8593692779541,33.6032104492188,62.4192450718287,64.8796175541923,66.1247784293668,66.194380991429,64.9903165535712,62.4285213803305,59.8290705858321,56.8832442136407,54.502009299061,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"Macao SAR, China",MAC,60.6535301208496,77.1178131103516,100.966438293457,99.4636688232422,97.421989440918,92.7108001708984,90.6689910888672,88.5771789550781,88.5480804443359,90.2211837768555,92.5810394287109,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Malaysia,MYS,68.0077590942383,81.2021484375,84.5525665283203,83.6966400146484,83.7138519287109,79.6654891967773,80.5930786132812,78.5830993652344,80.2709086459728,84.5425041170296,85.5096191873777,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Maldives,MDV,..,51.5363006591797,..,..,..,76.4182586669922,70.7690811157227,..,..,72.5359496704613,80.2538787023977,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Marshall Islands,MHL,..,..,88.4528121948242,93.1414108276367,..,..,110.421463012695,113.365058898926,117.979591369629,116.075157165527,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Mongolia,MNG,88.5091705322266,63.0990791320801,..,..,..,91.1449660838225,89.1558423616889,95.9892657742893,99.7959558672287,97.6302037098505,99.1215283290276,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Myanmar,MMR,20.9127197265625,39.0274391174316,..,67.0034103393555,71.2600784301758,75.6469802856445,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Nauru,NRU,..,46.8506698608398,..,77.0186309814453,..,..,86.3603668212891,77.8472213745117,..,89.922981262207,88.4923095703125,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Nepal,NPL,31.9215698242188,34.1563682556152,68.9282531738281,71.8179016113281,73.9423522949219,..,79.3168182373047,84.5885009765625,83.5162189990173,83.9228076897993,89.5513635551859,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,New Caledonia,NCL,76.4958419799805,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,New Zealand,NZL,89.4674987792969,112.153717041016,114.889991760254,113.687911987305,112.943313598633,112.411079406738,120.266319274902,116.893188476562,117.595428466797,114.774932861328,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Pakistan,PAK,20.7386207580566,..,35.1742522238373,36.3533679861146,35.8526761779574,37.7495130334641,39.6166540049859,..,41.8552345316015,42.3586853238267,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Palau,PLW,..,92.1920471191406,..,..,..,..,..,150.818542480469,97.3541412353516,85.6853477380149,93.8885157824043,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Papua New Guinea,PNG,12.7669897079468,..,..,..,..,44.4107818603516,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Philippines,PHL,71.8003082275391,..,86.6409470884308,87.1297234985317,84.5040588378906,82.0352410959823,87.5707840643522,89.2450874983032,87.131517608917,93.6653339656569,92.8650157810305,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Samoa,WSM,..,77.4985733032227,84.0876006857956,84.4522508456935,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Singapore,SGP,..,..,107.781350482315,107.859008789062,107.574600219727,105.844299316406,104.714958190918,103.199592590332,103.041877746582,103.041313171387,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Solomon Islands,SLB,14.3241996765137,19.8136806488037,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Sri Lanka,LKA,83.6178817749023,..,94.7927594875058,94.2089904664881,94.2680581739545,96.1318757373846,..,..,91.0135559713595,89.4825170896809,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Thailand,THA,29.9830093383789,..,126.035987854004,124.44612121582,109.502639199535,109.732723814478,109.378743181915,108.779183101525,102.941030468274,101.874933807375,109.854930019435,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Timor-Leste,TLS,..,..,73.0578437687153,77.5467614778173,81.1481134578215,83.1018888853337,85.3166561114629,85.2118561659316,..,..,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Tonga,TON,91.0207366943359,100.165519714355,103.261224756552,..,..,..,96.0933090863485,90.4639980016237,100.286051862446,96.996718063038,98.5568917668825,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Tuvalu,TUV,80.8538208007812,..,88.8352890014648,79.3079071044922,..,80.4283599853516,81.1111068725586,77.3861999511719,90.0071868896484,91.3165283203125,85.1700668334961,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Vanuatu,VUT,..,34.1127281188965,53.3900909423828,..,..,..,..,54.3274688720703,57.8640899658203,75.422961043339,117.083997498033,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Viet Nam,VNM,35.3092803955078,..,88.1982830183815,88.6387881692606,88.9568529473604,90.6353109471527,93.1537784411482,93.7899476841572,96.0667428497231,97.2494761123623,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,
